root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 92: TestAcc: 32.29%, TestLoss: 1.8580, TrainAcc: 82.02%, TrainLoss: 1.1514, Comm: 1113964.3KB, Cum: 102484713.5KB, Time: 32.3s                                          
Round 93: TestAcc: 30.67%, TestLoss: 1.8353, TrainAcc: 85.57%, TrainLoss: 1.0461, Comm: 1113964.3KB, Cum: 103598677.8KB, Time: 32.2s                                          
Round 94: TestAcc: 18.90%, TestLoss: 2.1736, TrainAcc: 93.27%, TrainLoss: 0.9244, Comm: 1113964.3KB, Cum: 104712642.1KB, Time: 30.5s                                          
Round 95: TestAcc: 28.36%, TestLoss: 1.9821, TrainAcc: 89.18%, TrainLoss: 1.0590, Comm: 1113964.3KB, Cum: 105826606.3KB, Time: 32.4s                                          
Round 96: TestAcc: 12.59%, TestLoss: 2.3312, TrainAcc: 91.18%, TrainLoss: 0.8449, Comm: 1113964.3KB, Cum: 106940570.6KB, Time: 34.9s                                          
Round 97: TestAcc: 22.85%, TestLoss: 1.9633, TrainAcc: 82.93%, TrainLoss: 1.1935, Comm: 1113964.3KB, Cum: 108054534.9KB, Time: 33.8s                                          
Round 98: TestAcc: 21.36%, TestLoss: 2.0584, TrainAcc: 85.76%, TrainLoss: 0.9315, Comm: 1113964.3KB, Cum: 109168499.2KB, Time: 35.4s                                          
Round 99: TestAcc: 25.87%, TestLoss: 1.9437, TrainAcc: 86.45%, TrainLoss: 1.1671, Comm: 1113964.3KB, Cum: 110282463.5KB, Time: 32.3s                                          
Round 100: TestAcc: 18.79%, TestLoss: 2.1338, TrainAcc: 79.93%, TrainLoss: 1.2831, Comm: 1113964.3KB, Cum: 111396427.7KB, Time: 28.7s                                         
Round 101: TestAcc: 32.52%, TestLoss: 1.9262, TrainAcc: 90.62%, TrainLoss: 1.1232, Comm: 1113964.3KB, Cum: 112510392.0KB, Time: 34.6s                                         
